LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
es,adjectives,masculine,agricultor,genders,hombre,0.028956473
es,adjectives,masculine,intrépido,genders,hombre,0.070782214
es,adjectives,masculine,civilizado,genders,hombre,0.10971466
es,adjectives,masculine,aventurero,genders,hombre,0.045328055
es,adjectives,masculine,bondadoso,genders,hombre,0.06760979
es,adjectives,masculine,semihumano,genders,hombre,0.1238196
es,adjectives,masculine,heterosexual,genders,hombre,0.003026078
es,adjectives,masculine,tímido,genders,hombre,0.11444872
es,adjectives,masculine,cultísimo,genders,hombre,0.08428203
es,adjectives,masculine,sapiente,genders,hombre,0.12360591
es,adjectives,masculine,individuo,genders,mujer,0.31879526
es,adjectives,masculine,humano,genders,mujer,0.31084
es,adjectives,masculine,chico,genders,mujer,0.05655413
es,adjectives,masculine,anciano,genders,mujer,0.12110481
es,adjectives,masculine,joven,genders,mujer,0.4000286
es,adjectives,masculine,sabio,genders,mujer,0.051781904
es,adjectives,masculine,jovencito,genders,mujer,0.088220656
es,adjectives,masculine,animal,genders,mujer,0.25314173
es,adjectives,masculine,creyente,genders,mujer,0.08141272
es,adjectives,masculine,campesino,genders,mujer,0.20698641
es,adjectives,masculine,adinerado,genders,mujer,0.09637152
es,adjectives,masculine,fornido,genders,mujer,0.06802542
es,adjectives,masculine,trabajador,genders,mujer,0.049742524
es,adjectives,masculine,sujeto,genders,mujer,0.021955978
es,adjectives,masculine,desgraciado,genders,mujer,0.07755927
es,adjectives,masculine,vagabundo,genders,mujer,0.003906464
es,adjectives,masculine,guapo,genders,mujer,-0.020024154
es,adjectives,masculine,cristiano,genders,mujer,0.26704058
es,adjectives,masculine,desdichado,genders,mujer,0.060566302
es,adjectives,masculine,pecador,genders,mujer,0.010959195
es,adjectives,masculine,soñador,genders,mujer,0.010959195
es,adjectives,masculine,procreador,genders,mujer,0.07489122
es,adjectives,masculine,barbudo,genders,mujer,0.003906464
es,adjectives,masculine,corpulento,genders,mujer,0.042222995
es,adjectives,masculine,viejo,genders,mujer,0.24666354
es,adjectives,masculine,amante,genders,mujer,0.34911036
es,adjectives,masculine,perro,genders,mujer,0.045177445
es,adjectives,masculine,cazador,genders,mujer,0.049742524
es,adjectives,masculine,pescador,genders,mujer,0.049742524
es,adjectives,masculine,soltero,genders,mujer,0.08220416
es,adjectives,masculine,seductor,genders,mujer,0.036085915
es,adjectives,masculine,señor,genders,mujer,0.32899424
es,adjectives,masculine,delincuente,genders,mujer,0.08606157
es,adjectives,masculine,afortunado,genders,mujer,0.07381308
es,adjectives,masculine,guerrero,genders,mujer,0.045177445
es,adjectives,masculine,camionero,genders,mujer,0.028746767
es,adjectives,masculine,polifacético,genders,mujer,0.06543292
es,adjectives,masculine,vaquero,genders,mujer,0.003906464
es,adjectives,masculine,necio,genders,mujer,0.09569122
es,adjectives,masculine,asesino,genders,mujer,0.20698641
es,adjectives,masculine,visionario,genders,mujer,0.041119464
es,adjectives,masculine,piadoso,genders,mujer,0.003906464
es,adjectives,masculine,maduro,genders,mujer,0.003906464
es,adjectives,masculine,acaudalado,genders,mujer,0.07381308
es,adjectives,masculine,metrosexual,genders,mujer,0.042013515
es,adjectives,masculine,viviente,genders,mujer,0.05509095
es,adjectives,masculine,macho,genders,mujer,0.30967793
es,adjectives,masculine,mono,genders,mujer,0.16888122
es,adjectives,masculine,poderoso,genders,mujer,0.18196222
es,adjectives,masculine,encarnado,genders,mujer,0.06558084
es,adjectives,masculine,honrado,genders,mujer,0.084261134
es,adjectives,masculine,galán,genders,mujer,0.042091716
es,adjectives,masculine,pensador,genders,mujer,0.049742524
es,adjectives,masculine,primitivo,genders,mujer,0.031610988
es,adjectives,masculine,hombruno,genders,mujer,0.003906464
es,adjectives,masculine,octogenario,genders,mujer,0.032226346
es,adjectives,masculine,masculino,genders,mujer,0.30239993
es,adjectives,masculine,rudo,genders,mujer,0.021955978
es,adjectives,masculine,depravado,genders,mujer,0.06802542
es,adjectives,masculine,buenmozo,genders,mujer,0.015313809
es,adjectives,masculine,caballeroso,genders,mujer,0.010094406
es,adjectives,masculine,astuto,genders,mujer,0.09988259
es,adjectives,masculine,ateo,genders,mujer,0.027933318
es,adjectives,masculine,forzudo,genders,mujer,0.06802542
es,adjectives,masculine,embarazado,genders,mujer,0.044469092
es,adjectives,masculine,viajador,genders,mujer,0.010959195
es,adjectives,masculine,ciudadano,genders,mujer,0.07455964
es,adjectives,masculine,infeliz,genders,mujer,0.0023273327
es,adjectives,masculine,mujeriego,genders,mujer,0.1048745
es,adjectives,masculine,agricultor,genders,mujer,0.0171504
es,adjectives,masculine,intrépido,genders,mujer,0.1147796
es,adjectives,masculine,civilizado,genders,mujer,0.057563443
es,adjectives,masculine,aventurero,genders,mujer,0.045177445
es,adjectives,masculine,bondadoso,genders,mujer,0.003906464
es,adjectives,masculine,semihumano,genders,mujer,0.05909449
es,adjectives,masculine,heterosexual,genders,mujer,0.0061850646
es,adjectives,masculine,tímido,genders,mujer,0.09323384
es,adjectives,masculine,cultísimo,genders,mujer,0.015038746
es,adjectives,masculine,sapiente,genders,mujer,0.15603766
es,adjectives,masculine,individua,genders,hombre,0.033151023
es,adjectives,masculine,humana,genders,hombre,0.40490395
es,adjectives,masculine,chica,genders,hombre,0.26505056
es,adjectives,masculine,anciana,genders,hombre,0.10789121
es,adjectives,masculine,joven,genders,hombre,0.3589433
es,adjectives,masculine,sabia,genders,hombre,0.045445006
es,adjectives,masculine,jovencita,genders,hombre,0.020822711
es,adjectives,masculine,animal,genders,hombre,0.3189671
es,adjectives,masculine,creyente,genders,hombre,0.07364635
es,adjectives,masculine,campesina,genders,hombre,0.044460267
es,adjectives,masculine,adinerada,genders,hombre,0.04589113
es,adjectives,masculine,fornida,genders,hombre,0.060566034
es,adjectives,masculine,trabajadora,genders,hombre,0.09914585
es,adjectives,masculine,sujeta,genders,hombre,0.033151023
es,adjectives,masculine,desgraciada,genders,hombre,0.06329308
